Trial,Dec_Latency_ns,Dec_RAM_Bytes,CPU_Percent,Dec_Throughput_bps
209,39608477,34619392,99.7,1058942407.71
210,39451903,34619392,99.7,1063145065.52
211,39852290,34619392,98.8,1052463886.02
212,39564459,34619392,99.6,1060120549.10
213,39986178,34619392,98.7,1048939861.17
214,39459273,34619392,100.0,1062946496.76
215,39150572,34619392,101.0,1071327795.67
216,38966147,34619392,101.4,1076398341.36
217,39119628,34619392,75.7,1072175226.21
218,39211868,34619392,100.7,1069653095.84
219,39906642,34619392,98.9,1051030452.52
220,39705680,34619392,99.0,1056350023.47
221,39833273,34619392,99.1,1052966348.01
222,39658347,34619392,99.4,1057610797.55
223,39370200,34619392,100.4,1065351357.12
224,39143090,34619392,101.0,1071532574.46
225,39554366,34619392,99.8,1060391057.72
226,39382034,34619392,100.0,1065031227.18
227,39825106,34619392,99.1,1053182281.55
228,39659255,34619392,99.4,1057586583.51
229,39799383,34619392,99.2,1053862970.69
230,39788420,34619392,99.2,1054153344.11
231,39217867,34619392,100.8,1069489475.29
232,39324571,34619392,100.5,1066587503.27
233,39382274,34619392,100.2,1065024736.76
234,39560699,34619392,99.6,1060221307.01
235,39621477,34619392,99.6,1058594963.53
236,39786568,34619392,99.3,1054202413.24
237,39797402,34619392,99.3,1053915428.95
238,39230368,34619392,100.7,1069148675.84
239,39583996,34619392,99.9,1059597318.07
240,39327256,34623488,100.5,1066514683.86
241,39709754,34623488,99.6,1056241647.83
242,39344145,34623488,100.5,1066056868.18
243,39606866,34623488,99.8,1058985479.94
244,39287867,34623488,100.6,1067583943.92
245,39309645,34623488,100.6,1066992490.01
246,39422348,34623488,100.3,1063942107.15
247,39494756,34623488,100.1,1061991521.10
248,39342460,34623488,100.5,1066102526.38
249,39572570,34623488,99.9,1059903261.27
250,39283812,34623488,100.6,1067694143.33
251,38996072,34623488,76.0,1075572329.44
252,39064406,34623488,101.0,1073690868.36
253,39061905,34623488,101.2,1073759613.11
254,38990684,34627584,101.4,1075720959.40
255,39097238,34627584,101.0,1072789233.86
256,39418348,34627584,100.1,1064050071.30
257,39231368,34627584,100.4,1069121423.45
