Trial,Dec_Latency_ns,Dec_RAM_Bytes,CPU_Percent,Dec_Throughput_bps
369,54271980,34951168,109.5,772832831.97
370,54000426,34951168,110.1,776719205.88
371,54077926,34951168,91.6,775606076.31
372,53995537,34951168,91.8,776789533.55
373,54137666,34951168,109.8,774750208.11
374,54070797,34951168,91.7,775708336.61
375,54056648,34951168,110.0,775911373.57
376,54068907,34951168,91.7,775735451.80
377,54177463,34951168,109.8,774181101.84
378,54001185,34951168,91.8,776708288.90
379,54078592,34951168,110.0,775596524.41
380,54017760,34951168,91.7,776469960.99
381,54070981,34951168,91.7,775705696.92
382,54271184,34951168,109.6,772844167.17
383,54078778,34951168,91.6,775593856.80
384,54171611,34951168,109.7,774264734.35
385,54091444,34951168,91.6,775412244.49
386,54128333,34951168,91.6,774883793.30
387,54252054,34951168,109.6,773116682.37
388,53983334,34951168,91.8,776965127.79
389,54112518,34951168,109.9,775110261.92
390,54174814,34951168,91.5,774218957.17
391,54035612,34951168,110.1,776213434.95
392,54126111,34951168,91.6,774915604.04
393,54066186,34951168,110.0,775774492.40
394,54005575,34951168,91.8,776645151.91
395,54074297,34951168,110.0,775658128.30
396,53982204,34951168,91.8,776981391.87
397,53974297,34955264,110.2,777095216.27
398,54053204,34955264,109.9,775960810.76
399,54141537,34955264,91.5,774694815.18
400,54007815,34955264,91.8,776612940.18
401,54285240,34955264,109.6,772644055.73
402,54188370,34955264,91.4,774025275.17
403,54126352,34955264,109.9,774912153.70
404,54030371,34955264,91.7,776288728.43
405,54202832,34955264,109.7,773818755.45
406,54039556,34955264,91.7,776156784.12
407,54035778,34955264,110.1,776211050.39
408,54177426,34955264,91.5,774181630.56
409,54132407,34955264,109.9,774825475.62
410,54189463,34955264,91.5,774009663.10
411,54047944,34959360,91.6,776036328.04
412,53971779,34959360,110.2,777131470.87
413,54061241,34959360,91.7,775845452.75
414,54370332,34959360,109.4,771434833.25
415,54400314,34959360,91.1,771009667.33
416,54154610,34959360,109.8,774507802.75
417,54073223,34959360,91.7,775673534.39
418,54037370,34959360,110.1,776188182.36
419,54220703,34959360,91.4,773563706.84
420,54269426,34959360,109.6,772869202.63
421,54329758,34959360,91.2,772010948.40
422,54175092,34959360,109.8,774214984.26
423,54256740,34959360,91.3,773049910.48
424,54246074,34959360,91.4,773201909.51
425,53968278,34959360,110.2,777181884.51
426,54110870,34959360,91.6,775133868.67
427,54134666,34959360,109.9,774793142.72
428,54111297,34959360,91.6,775127751.97
429,53993464,34959360,110.1,776819357.25
430,54052982,34959360,91.6,775963997.69
431,54079630,34959360,110.0,775581637.67
432,54029167,34959360,91.7,776306027.45
433,54171870,34959360,109.8,774261032.52
434,54038648,34959360,91.7,776169825.71
435,54045019,34959360,91.7,776078328.33
436,54131574,34959360,109.8,774837398.96
437,54260296,34959360,91.3,772999247.92
438,53959278,34959360,110.2,777311512.58
439,54027852,34959360,91.7,776324922.19
440,54253444,34959360,109.6,773096874.73
441,54102352,34959360,91.6,775255907.54
442,54147167,34959360,109.8,774614265.60
443,54173426,34959360,91.5,774238793.76
444,54010964,34959360,110.1,776567661.34
445,54173370,34959360,91.5,774239594.10
446,54029796,34959360,110.1,776296989.91
447,54116222,34959360,91.5,775057209.28
448,54069074,34959360,91.7,775733055.83
449,53968668,34959360,110.2,777176268.27
450,54055019,34959360,91.7,775934756.40
451,54209814,34959360,109.7,773719090.79
452,54165444,34959360,91.5,774352888.16
453,54161907,34963456,109.7,774403456.66
454,54269165,34963456,91.3,772872919.64
455,54137426,34963456,109.9,774753642.70
456,54411332,34963456,91.1,770853542.05
457,54423998,34963456,109.3,770674142.68
458,54492387,34963456,90.9,769706931.72
459,54482702,34963456,109.2,769843757.01
460,54596683,34963456,90.8,768236561.18
461,54446813,34967552,109.2,770351204.95
462,54508665,34967552,90.9,769477073.05
463,54534461,34967552,109.0,769113093.46
464,54322351,34967552,91.2,772116214.19
465,54475776,34967552,109.2,769941634.24
466,54010371,34967552,91.8,776576187.56
467,54062704,34967552,91.7,775824457.47
468,54079092,34967552,110.0,775589353.46
469,53994649,34967552,91.8,776802308.69
470,54032037,34967552,110.1,776264792.68
471,54068592,34967552,91.7,775739971.18
472,54060315,34967552,110.0,775858742.22
473,54082259,34967552,91.7,775543935.77
474,54233426,34967552,109.7,773382231.10
475,54084944,34967552,91.6,775505434.56
476,54106333,34967552,109.9,775198866.28
477,54225500,34967552,91.4,773495274.36
478,54201833,34967552,91.4,773833017.79
479,54113444,34967552,109.9,775096998.08
480,54087592,34967552,91.6,775467467.66
481,54083037,34967552,91.6,775532779.34
482,54133778,34967552,109.9,774805852.27
483,54119093,34967552,91.6,775016092.75
484,54095037,34967552,109.9,775360741.50
485,54025093,34967552,91.7,776364568.22
486,54041593,34967552,110.0,776127528.29
487,54068111,34967552,91.7,775746872.31
488,54088908,34967552,110.0,775448600.29
489,54113870,34967552,91.6,775090896.29
490,54111556,34967552,109.9,775124041.90
491,54363962,34967552,91.2,771525224.74
492,54253240,34967552,91.4,773099781.69
493,54069223,34967552,110.0,775730918.12
494,54188333,34967552,91.5,774025803.67
495,54132722,34971648,109.8,774820966.88
496,54217832,34971648,91.4,773604669.40
497,54231129,34971648,109.7,773414988.28
498,54330166,34971648,91.2,772005150.88
499,54436239,34971648,109.2,770500842.28
500,54170666,34971648,91.5,774278241.29
501,54037556,34971648,110.0,776185510.68
502,53994408,34971648,91.8,776805775.89
503,54026612,34971648,110.1,776342740.13
504,54161018,34971648,91.5,774416167.73
505,54192018,34971648,109.8,773973170.74
506,54194388,34971648,91.5,773939323.75
507,54194648,34971648,91.5,773935610.76
508,54112500,34971648,109.9,775110519.75
509,54262203,34971648,91.3,772972081.51
510,54130500,34971648,109.9,774852772.47
511,54163352,34971648,91.5,774382796.69
512,54003593,34971648,110.1,776673655.77
513,54014797,34971648,91.7,776512554.51
514,54080537,34971648,109.9,775568630.17
515,54142555,34971648,91.5,774680249.21
516,54013204,34971648,110.0,776535456.03
517,54020389,34971648,91.7,776432172.67
518,54197352,34971648,91.5,773896997.77
519,54012648,34971648,110.1,776543449.60
520,54198184,34971648,91.4,773885117.63
521,53998760,34971648,110.1,776743169.66
522,54112722,34971648,91.6,775107339.82
523,54060778,34971648,110.0,775852097.43
524,53997390,34971648,91.8,776762876.87
525,54026759,34975744,110.1,776340627.80
526,54015019,34975744,91.7,776509363.07
527,54063630,34975744,91.6,775811169.17
528,54170481,34975744,109.8,774280885.56
529,54199000,34975744,91.4,773873466.30
530,53948427,34975744,110.1,777467858.33
531,54176963,34975744,91.5,774188246.76
532,54028667,34975744,91.3,776313211.65
533,54221555,34975744,109.7,773551551.59
534,54128759,34975744,91.6,774877694.87
535,53924130,34975744,110.3,777818167.86
536,54163815,34975744,91.5,774376177.16
537,54295517,34975744,109.5,772497810.45
538,54390980,34979840,91.1,771141979.79
539,54153814,34979840,109.8,774519187.14
540,54254036,34979840,91.3,773088438.99
541,54372350,34979840,109.4,771406201.87
542,54319369,34979840,91.2,772158601.47
543,54366721,34979840,109.4,771486071.41
544,54449979,34979840,91.0,770306412.79
545,54453424,34979840,109.2,770257679.30
546,54512720,34979840,90.9,769419834.49
547,54604793,34979840,108.9,768122461.34
548,54527127,34979840,90.9,769216540.60
549,54356314,34979840,109.4,771633779.29
550,54503572,34979840,90.9,769548975.62
551,54040704,34979840,110.0,776140296.03
552,54193036,34979840,91.5,773958631.88
553,53993315,34979840,91.8,776821500.96
554,54084148,34979840,110.0,775516848.30
555,54268833,34979840,91.4,772877647.84
556,54099056,34979840,109.9,775303140.22
557,54102907,34979840,91.5,775247954.79
558,54097537,34979840,110.0,775324909.89
559,54035741,34979840,91.7,776211581.89
560,54032500,34979840,109.9,776258140.93
561,53994648,34979840,110.1,776802323.07
562,54030426,34979840,91.7,776287938.21
563,54056037,34979840,110.0,775920143.76
564,54209740,34979840,91.4,773720146.97
565,54101630,34979840,91.6,775266253.53
566,54198926,34979840,109.7,773874522.90
567,54044074,34979840,91.7,776091898.62
568,54243666,34979840,109.6,773236233.70
569,54094445,34979840,91.6,775369226.91
570,54205259,34979840,109.7,773784108.29
571,54117555,34979840,91.6,775038118.41
572,54014538,34979840,110.1,776516277.90
573,54132852,34979840,91.5,774819106.15
574,54137296,34979840,109.9,774755503.12
575,54189185,34979840,91.5,774013633.90
576,54314962,34979840,109.5,772221252.77
577,54103926,34979840,91.6,775233353.68
578,53994741,34979840,91.8,776800985.12
579,54080833,34979840,110.0,775564385.26
580,54042056,34979840,91.6,776120878.89
581,54149814,34983936,91.5,774576400.21
582,54212703,34983936,109.7,773677859.23
583,54173907,34983936,109.7,774231919.44
584,54150258,34983936,91.5,774570049.14
585,54037167,34983936,110.0,776191098.25
586,53950723,34983936,91.9,777434771.36
587,53928593,34983936,110.3,777753797.51
588,54227184,34983936,91.3,773471253.83
589,54130111,34988032,109.9,774858340.86
590,54254684,34988032,91.3,773079205.47
591,54128945,34988032,109.9,774875032.20
592,54040149,34988032,91.7,776148267.10
593,54419998,34988032,109.3,770730789.08
594,54148703,34988032,91.5,774592292.64
595,54097797,34988032,91.6,775321183.60
596,54176148,34988032,109.8,774199893.28
597,55746585,34988032,106.7,752389908.73
598,54133796,34988032,91.6,774805594.64
599,54089204,34988032,91.6,775444356.70
600,54301591,34988032,109.5,772411401.35
601,54277443,34988032,91.3,772755046.70
602,54331665,34988032,91.2,771983851.41
603,54250000,34988032,109.5,773145953.92
604,54173055,34988032,91.5,774244096.07
605,54195315,34988032,109.7,773926085.68
606,54060593,34988032,91.6,775854752.46
607,54288055,34988032,109.6,772603991.80
608,54072759,34988032,91.6,775680190.46
609,54242684,34988032,91.0,773250232.23
610,54144592,34988032,109.5,774651104.58
611,54428110,34988032,91.1,770615918.87
612,54130889,34988032,109.9,774847204.15
613,54128222,34988032,91.6,774885382.34
614,54108611,34988032,109.9,775166230.01
615,54154130,34988032,91.5,774514667.67
616,54156759,34988032,109.8,774477069.43
617,59730344,34988032,99.6,702208713.21
618,54162629,34988032,91.5,774393133.69
619,54291703,34988032,109.5,772552078.54
620,54428276,34988032,91.1,770613568.58
621,54129704,34988032,109.9,774864167.00
622,54139222,34988032,91.5,774727941.23
623,54219684,34992128,91.4,773578245.13
624,57741483,34992128,103.1,726395752.60
625,54253333,34992128,109.6,773098456.46
626,54033518,34992128,91.7,776243516.11
627,54130203,34992128,109.9,774857023.91
628,54135814,34992128,91.5,774776712.51
629,54061129,34992128,110.0,775847060.09
630,54102389,34992128,91.6,775255377.35
631,54041444,34992128,91.6,776129668.19
632,54056889,34992128,110.0,775907914.35
633,54079315,34992128,91.6,775586155.26
634,54050482,34992128,110.0,775999888.40
635,54120685,34992128,91.6,774993295.08
636,54120129,34992128,109.9,775001256.93
637,54269555,34992128,91.3,772867365.51
638,54197796,34992128,109.7,773890657.84
639,55800214,34992128,88.8,751666794.68
640,54256202,34992128,109.6,773057575.98
641,54296314,34992128,91.2,772486471.18
642,54151166,34992128,109.8,774557061.25
643,54220759,34992128,91.4,773562907.89
644,54108500,34992128,109.9,775167820.21
645,54013649,34992128,91.7,776529058.42
646,54295333,34992128,109.5,772500428.35
647,54205074,34992128,91.3,773786749.19
648,54284517,34992128,91.3,772654346.36
649,54187278,34992128,127.9,774040873.58
650,54073759,34992128,91.7,775665845.61
651,54097037,34992128,91.6,775332075.95
652,54137037,34996224,109.8,774759209.67
653,54113871,34996224,91.5,775090881.97
654,54106074,34996224,109.9,775202577.07
655,54172519,34996224,91.5,774251756.69
656,54150685,34996224,109.7,774563941.34
657,54273833,34996224,91.3,772806446.16
658,54069407,34996224,110.0,775728278.28
659,59825102,34996224,82.8,701096472.85
660,54130870,34996224,109.9,774847476.13
661,54380554,34996224,91.1,771289825.40
662,54099611,34996224,109.9,775295186.50
663,54133259,34996224,91.6,774813280.69
664,54290999,34996224,109.6,772562096.34
665,54139592,35000320,91.5,774722646.60
666,57839463,35000320,102.9,725165238.83
667,56029917,35000320,106.2,748585224.57
668,54272629,35000320,91.3,772823590.32
669,54350591,35000320,109.4,771715030.66
670,54014111,35000320,91.8,776522416.52
671,54055852,35000320,91.7,775922799.26
672,54022556,35000320,110.0,776401027.75
673,53963537,35000320,91.8,777250164.31
674,54089297,35000320,110.0,775443023.41
675,54390535,35000320,109.3,771148288.94
676,54241777,35000320,91.4,773263162.08
677,54165185,35000320,109.8,774356590.86
678,54200703,35000320,91.4,773849151.00
679,54149389,35000320,91.5,774582479.59
680,54096500,35000320,109.9,775339772.44
681,54005426,35000320,91.8,776647294.66
682,54172704,35000320,109.7,774249112.62
683,54189481,35000320,91.4,774009406.00
684,54114296,35000320,109.9,775084794.60
685,53974093,35000320,91.7,777098153.37
686,54132055,35000320,109.8,774830514.01
687,54011685,35000320,91.7,776557294.96
688,54088445,35000320,91.6,775455238.18
689,53995297,35000320,110.1,776792986.25
690,54003352,35000320,91.8,776677121.82
691,54026000,35000320,109.9,776351534.45
692,54097648,35000320,91.3,775323319.05
