Trial,Enc_Latency_ns,Enc_RAM_Bytes,CPU_Percent,Enc_Throughput_bps
316,58816163,34947072,101.0,713123159.70
317,58753014,34947072,100.6,713889639.77
318,59538047,34947072,99.9,704476718.90
319,58794829,34947072,101.3,713381920.03
320,58552515,34947072,101.7,716334183.08
321,58622886,34947072,101.5,715474294.46
322,58389183,34947072,101.8,718337983.94
323,58429960,34947072,84.9,717836671.46
324,58306183,34947072,102.1,719360552.21
325,58246480,34951168,102.1,720097901.20
326,58309906,34951168,102.0,719314622.12
327,58339647,34951168,101.9,718947922.33
328,58323127,34951168,102.0,719151564.01
329,58368738,34951168,102.0,718589598.43
330,58226184,34951168,102.2,720348906.95
331,58428812,34951168,84.9,717850775.40
332,58320183,34951168,102.0,719187866.75
333,58389516,34951168,101.9,718333887.20
334,58239017,34951168,102.2,720190177.66
335,58354924,34951168,102.0,718759705.69
336,58400016,34951168,101.9,718204734.74
337,58477887,34951168,101.5,717248350.65
338,58506942,34951168,101.4,716892159.57
339,58522349,34951168,101.7,716703425.56
340,58296647,34951168,102.0,719478223.16
341,58255721,34951168,102.2,719983673.36
342,58300425,34951168,102.1,719431599.34
343,58389905,34951168,101.9,718329101.58
344,58266129,34951168,102.1,719855063.65
345,58393868,34951168,84.9,718280350.94
346,58435609,34951168,101.8,717767277.83
347,58255480,34951168,102.1,719986651.90
348,58439461,34951168,101.8,717719966.65
349,58349184,34951168,102.0,718830412.44
350,58390035,34951168,101.9,718327502.29
351,58331573,34951168,102.0,719047435.94
352,58224165,34951168,102.2,720373886.00
353,58433905,34951168,84.9,717788208.75
354,58479405,34951168,101.6,717229732.42
355,58328479,34951168,101.6,719085577.39
356,58423313,34951168,101.9,717918341.95
357,58336461,34951168,102.0,718987187.10
358,58292202,34951168,102.1,719533086.09
359,58328628,34951168,102.0,719083740.49
360,58310369,34951168,102.1,719308910.56
361,58463053,34951168,101.8,717430340.15
362,58327572,34951168,85.0,719096759.25
363,58456775,34951168,101.8,717507389.01
364,58301387,34951168,102.0,719419728.38
365,58399683,34951168,101.9,718208830.00
366,58400072,34951168,101.9,718204046.05
367,58450702,34955264,101.8,717581937.68
