Trial,Enc_Latency_ns,Enc_RAM_Bytes,CPU_Percent,Enc_Throughput_bps
230,39314516,29442048,100.5,1066860291.50
231,39291627,29442048,100.6,1067481781.81
232,39277442,29442048,100.6,1067867301.54
233,39273849,29442048,100.6,1067964996.25
234,39401163,29442048,100.3,1064514161.68
235,39258238,29442048,100.6,1068389671.49
236,39275905,29442048,100.6,1067909090.83
237,39273830,29442048,100.6,1067965512.91
238,39366682,29442048,100.4,1065446562.15
239,39262367,29442048,100.6,1068277315.02
240,39334034,29446144,100.4,1066330903.16
241,39264089,29446144,75.5,1068230463.72
242,39267145,29446144,100.6,1068147327.75
243,39304256,29446144,100.5,1067138785.17
244,39241293,29446144,100.6,1068851018.75
245,39296126,29446144,100.6,1067359566.18
246,39256923,29446144,100.5,1068425459.63
247,39232349,29446144,100.6,1069094690.20
248,39250072,29446144,100.7,1068611950.57
249,39449700,29446144,75.1,1063204435.01
250,39277571,29446144,100.6,1067863794.33
251,39246219,29446144,100.7,1068716861.62
252,39252090,29446144,100.7,1068557011.87
253,39365496,29446144,100.4,1065478661.82
254,39630254,29446144,99.6,1058360514.17
255,39325460,29446144,100.5,1066563391.76
256,39367997,29446144,100.3,1065410973.28
257,39322700,29446144,100.5,1066638252.21
258,39293571,29446144,100.6,1067428969.49
259,39437645,29446144,100.2,1063529427.28
260,39269571,29446144,100.6,1068081339.62
261,39423348,29446144,100.2,1063915119.54
262,39306941,29446144,100.5,1067065890.47
263,39324626,29446144,100.5,1066586011.52
264,39409774,29446144,100.3,1064281566.29
265,39394385,29446144,100.3,1064697316.64
266,39301182,29446144,100.5,1067222253.01
267,39328664,29446144,100.4,1066476501.72
268,39270738,29446144,100.6,1068049599.68
269,39328608,29446144,100.4,1066478020.27
270,39288738,29446144,100.5,1067560276.43
271,39319219,29446144,100.5,1066732683.58
272,39314626,29446144,100.5,1066857306.49
273,39452570,29446144,100.2,1063127091.59
274,39315923,29446144,100.5,1066822111.74
275,39411589,29450240,100.2,1064232553.53
276,39330385,29450240,100.4,1066429835.36
277,39264349,29450240,100.6,1068223390.13
278,39413922,29450240,100.3,1064169559.17
279,39331108,29450240,100.5,1066410231.82
280,39313108,29450240,100.5,1066898501.13
281,39340663,29450240,100.5,1066151223.74
282,39352348,29450240,100.5,1065834648.54
283,39297163,29454336,100.5,1067331399.98
284,39453441,29454336,100.2,1063103621.30
285,39307423,29454336,100.6,1067052805.78
286,39368848,29454336,100.4,1065387943.28
287,39322367,29454336,100.6,1066647284.99
288,39491756,29454336,100.1,1062072195.52
289,39411571,29454336,100.3,1064233039.58
290,39280238,29454336,100.5,1067791289.86
291,39350849,29454336,100.4,1065875249.60
292,39254293,29454336,100.6,1068497043.11
293,39260516,29454336,100.5,1068327680.67
294,39267757,29454336,100.6,1068130680.34
295,39297608,29454336,100.5,1067319313.68
296,39315571,29454336,100.5,1066831663.21
297,39301071,29454336,100.4,1067225267.22
298,39323515,29454336,100.4,1066616145.58
299,39381256,29454336,100.2,1065052267.51
300,39316404,29454336,75.4,1066809060.16
301,39432441,29454336,100.2,1063669783.97
302,39299237,29454336,100.6,1067275072.03
303,39429440,29454336,100.2,1063750740.56
304,39340237,29454336,100.5,1066162768.67
305,39325238,29454336,100.5,1066569412.75
306,39382404,29454336,100.3,1065021221.15
307,39309385,29454336,100.5,1066999547.31
308,39306830,29454336,100.5,1067068903.80
309,39300423,29454336,100.6,1067242864.03
310,39349071,29454336,100.4,1065923411.51
311,39298460,29454336,100.6,1067296173.95
312,39278145,29454336,100.5,1067848188.86
313,39276163,29454336,125.8,1067902075.87
314,39425200,29454336,100.1,1063865142.09
315,39337423,29454336,75.3,1066239036.55
316,39236349,29454336,100.6,1068985699.97
317,39349441,29454336,100.4,1065913388.71
318,39253571,29454336,100.7,1068516696.23
319,39239201,29454336,100.7,1068908003.50
320,39342238,29454336,100.4,1066108542.17
321,39259238,29454336,100.7,1068362457.77
322,39261942,29454336,100.6,1068288878.83
323,39280682,29454336,100.6,1067779220.33
324,39241423,29454336,100.7,1068847477.83
325,39333090,29458432,100.4,1066356495.26
326,39365978,29458432,100.4,1065465616.02
327,39276738,29458432,100.6,1067886442.10
328,39352422,29458432,100.4,1065832644.30
329,39262830,29458432,100.6,1068264717.55
330,39262219,29458432,100.7,1068281341.92
331,39236701,29458432,125.8,1068976109.89
332,39291589,29458432,75.4,1067482814.20
333,39335682,29458432,100.3,1066286228.37
334,39369385,29458432,100.2,1065373411.34
335,39431200,29458432,99.5,1063703260.36
336,39359016,29458432,100.0,1065654080.38
337,39411218,29458432,100.1,1064242571.75
338,39391478,29458432,100.1,1064775888.84
339,39405404,29462528,99.2,1064399593.52
340,39400552,29462528,99.7,1064530669.52
341,39599940,29462528,99.1,1059170695.71
342,39543384,29462528,98.7,1060685549.83
343,39348793,29462528,100.4,1065930942.28
344,39310479,29462528,100.6,1066969853.00
345,39466015,29462528,100.1,1062764913.05
346,39252831,29462528,100.7,1068536840.06
347,39232293,29462528,100.7,1069096216.22
348,39344848,29462528,100.5,1066037820.25
349,39376329,29462528,100.3,1065185533.17
350,39433848,29462528,100.2,1063631832.23
351,39391404,29462528,100.0,1064777889.10
352,39463125,29462528,123.9,1062842742.43
353,39443756,29462528,100.2,1063364655.23
354,39380700,29462528,100.4,1065067304.54
355,39333941,29462528,100.5,1066333424.36
356,39316330,29462528,100.3,1066811068.07
357,39325737,29462528,99.9,1066555879.17
358,39265774,29462528,75.5,1068184623.08
359,39289589,29462528,100.5,1067537153.42
360,39268145,29462528,100.5,1068120126.38
361,39273034,29462528,100.6,1067987158.82
362,39241886,29462528,100.7,1068834866.91
363,39356737,29462528,100.4,1065715788.38
364,39265608,29462528,100.6,1068189138.95
365,39270293,29462528,100.6,1068061702.52
366,39286422,29462528,100.6,1067623210.89
367,39324941,29462528,100.4,1066577467.97
368,39344404,29466624,100.4,1066049850.44
369,39294868,29466624,100.6,1067393737.01
370,39264831,29466624,100.6,1068210277.03
371,39422923,29466624,100.3,1063926589.11
372,39281164,29466624,100.6,1067766118.13
373,39264923,29466624,100.6,1068207774.15
374,39326034,29466624,100.1,1066547824.27
375,39307959,29466624,99.7,1067038255.53
376,39316830,29466624,100.5,1066797501.22
377,39313219,29466624,100.4,1066895488.77
378,39391978,29466624,100.3,1064762373.70
379,39465071,29466624,99.8,1062790334.27
380,39311108,29466624,99.6,1066952780.88
381,39303200,29466624,100.5,1067167457.10
382,39332775,29466624,100.4,1066365035.27
383,39288719,29466624,100.6,1067560792.70
384,39281997,29466624,100.6,1067743475.47
385,39462014,29466624,100.1,1062872665.34
386,39260590,29466624,100.7,1068325667.04
387,39296312,29466624,100.6,1067354514.08
388,39286534,29466624,100.6,1067620167.26
389,39343700,29466624,100.4,1066068925.90
390,39332570,29466624,100.4,1066370593.12
391,39337052,29466624,75.4,1066249092.59
392,39487385,29466624,124.8,1062189760.10
393,39347497,29466624,99.6,1065966051.16
394,39400404,29466624,75.2,1064534668.22
395,39312515,29466624,100.6,1066914594.50
396,39322275,29466624,100.6,1066649780.56
