Trial,Latency_ns,RAM_Bytes,CPU_Percent,Throughput_bps
55,158922785,34562048,100.4,263921677.44
56,158868057,34562048,94.1,264012595.06
57,157510596,34562048,101.3,266287913.74
58,157868767,34562048,101.1,265683762.51
59,159143191,34562048,100.2,263556158.05
60,159939469,34562048,99.8,262244011.83
61,159232681,34562048,100.2,263408037.45
62,159969212,34562048,99.7,262195252.92
63,158754358,34562048,100.5,264201679.43
64,160507808,34562048,99.4,261315437.07
65,159334372,34562048,100.1,263239924.15
66,158040362,34562048,100.9,265395291.87
67,158438918,34562048,94.4,264727685.15
68,158826343,34562048,100.4,264081935.07
69,159164356,34562048,100.2,263521111.47
70,159400137,34562048,100.1,263131317.13
71,158739456,34562048,100.2,264226481.92
72,158598912,34566144,100.5,264460628.83
73,157541480,34566144,94.9,266235711.38
74,158484642,34566144,100.7,264651309.24
75,159128572,34566144,106.5,263580370.72
76,160465066,34566144,99.4,261385041.90
77,160671042,34566144,99.3,261049953.23
78,159038395,34566144,100.3,263729824.49
79,159452192,34566144,100.1,263045414.89
80,158124033,34566144,100.9,265254858.51
81,159368906,34566144,100.1,263182882.11
82,158820022,34566144,100.4,264092445.47
83,159305192,34566144,100.2,263288141.92
84,159674951,34566144,99.9,262678446.04
85,159590980,34566144,100.0,262816657.93
86,159630038,34566144,100.0,262752352.41
87,159924529,34566144,99.8,262268510.42
88,159173349,34566144,100.2,263506223.02
89,160136433,34566144,99.6,261921457.94
90,159276375,34566144,100.2,263335777.20
91,158379534,34566144,100.7,264826944.12
92,159018980,34566144,100.3,263762023.88
93,158968179,34570240,100.4,263846313.54
94,158909711,34570240,100.4,263943391.10
95,158714804,34570240,100.5,264267522.27
96,158576808,34570240,94.3,264497491.97
97,160523690,34570240,105.6,261289582.86
98,158910024,34570240,100.4,263942871.22
99,160712021,34570240,99.3,260983389.66
100,158350344,34570240,94.5,264875761.81
101,158758863,34570240,100.5,264194182.34
102,158852480,34570240,100.4,264038484.01
103,158011053,34570240,100.9,265444519.25
104,159753748,34570240,99.9,262548882.42
105,158888465,34570240,100.4,263978684.67
106,158997828,34570240,100.4,263797113.00
107,160249829,34570240,99.6,261736117.05
108,158595902,34570240,100.6,264465648.05
109,158837811,34570240,100.5,264062868.51
110,158510153,34570240,100.7,264608715.63
111,158958896,34570240,100.4,263861721.84
112,158863221,34570240,94.2,264020631.94
113,158596309,34570240,100.5,264464969.36
114,159224272,34574336,100.2,263421948.63
115,157925158,34574336,101.0,265588893.70
116,158439220,34574336,100.7,264727180.56
117,158732949,34574336,100.5,264237313.45
118,158271871,34574336,100.8,265007090.24
119,159688054,34574336,99.9,262656892.29
120,159378545,34574336,100.1,263166965.16
121,158390625,34574336,100.7,264808400.12
122,158405643,34574336,94.4,264783294.37
123,159592377,34574336,100.0,262814357.35
124,159683441,34574336,99.9,262664480.03
125,158533450,34574336,100.6,264569830.53
126,159545207,34574336,100.0,262892059.18
127,159403957,34574336,100.1,263125011.38
128,159080924,34574336,100.3,263659318.45
129,159800784,34574336,99.9,262471603.39
130,159811249,34574336,99.9,262454415.83
131,159666310,34574336,99.9,262692661.96
132,158498410,34574336,100.7,264628320.25
133,158808479,34574336,100.5,264111641.04
134,158883684,34574336,100.4,263986628.10
135,160110126,34574336,99.7,261964493.11
136,158601697,34574336,100.6,264455984.98
137,160793909,34574336,99.2,260850477.86
138,159160912,34574336,100.2,263526813.67
139,160177261,34574336,99.6,261854696.09
140,159156695,34574336,100.3,263533796.05
141,159853585,34574336,99.8,262384906.79
142,159357430,34574336,100.1,263201835.02
143,159951093,34574336,99.8,262224953.97
144,158883166,34574336,100.4,263987488.77
145,158805938,34574336,94.2,264115867.00
146,158075010,34574336,100.9,265337120.65
147,159310148,34574336,100.1,263279951.26
148,158930486,34574336,100.4,263908889.07
149,158791807,34574336,100.5,264139370.87
150,158865684,34574336,100.4,264016538.65
151,158744118,34574336,100.5,264218722.11
152,158714271,34574336,100.5,264268409.74
153,157430246,34574336,101.3,266423823.03
154,159444217,34574336,100.1,263058571.76
155,158175570,34574336,100.8,265168432.77
156,158343381,34578432,94.4,264887409.47
157,159184194,34582528,100.2,263488270.70
158,159471508,34582528,100.0,263013553.49
159,157885139,34582528,101.0,265656212.27
160,158869835,34582528,100.4,264009640.34
161,157581113,34582528,101.2,266168750.82
162,158565697,34582528,100.6,264516025.81
163,157383818,34582528,101.4,266502417.68
164,159639660,34582528,99.9,262736515.47
