Trial,Latency_ns,RAM_Bytes,Throughput_bps
236,496236,13725696,1056529554.49
237,495661,13725696,1057755199.62
238,495495,13725696,1058109567.20
239,495625,13725696,1057832030.26
240,495662,13725696,1057753065.60
241,495607,13725696,1057870449.77
242,506495,13729792,1035129665.64
243,496199,13729792,1056608336.57
244,495755,13733888,1057554638.88
245,495699,13733888,1057674112.72
246,495662,13733888,1057753065.60
247,495681,13733888,1057712520.75
248,495422,13733888,1058265478.72
249,503921,13733888,1040417049.50
250,495921,13733888,1057200642.84
251,495514,13733888,1058068995.02
252,495273,13733888,1058583851.73
253,495458,13733888,1058188585.11
254,495254,13733888,1058624463.41
255,495477,13733888,1058148006.87
256,495421,13733888,1058267614.82
257,507570,13733888,1032937328.84
258,496143,13733888,1056727596.68
259,495754,13733888,1057556772.11
260,495292,13733888,1058543243.18
261,495458,13733888,1058188585.11
262,495513,13733888,1058071130.32
263,495329,13733888,1058464172.30
264,503661,13733888,1040954133.83
265,495773,13733888,1057516242.31
266,495717,13733888,1057635707.47
267,495606,13733888,1057872584.27
268,495643,13733888,1057793613.55
269,495662,13733888,1057753065.60
270,495569,13733888,1057951566.78
271,495847,13733888,1057358419.03
272,503570,13733888,1041142244.38
273,495977,13733888,1057081275.95
274,495625,13733888,1057832030.26
275,495587,13733888,1057913141.39
276,495624,13733888,1057834164.61
277,495717,13733888,1057635707.47
278,495458,13733888,1058188585.11
279,503532,13733888,1041220816.15
280,495866,13733888,1057317904.43
281,495588,13733888,1057911006.72
282,495569,13733888,1057951566.78
283,495347,13733888,1058425709.65
284,495513,13733888,1058071130.32
285,495569,13733888,1057951566.78
286,503680,13733888,1040914866.58
287,495569,13733888,1057951566.78
288,495551,13733888,1057989994.98
289,495718,13733888,1057633573.93
290,495551,13733888,1057989994.98
291,495625,13733888,1057832030.26
292,495476,13733888,1058150142.49
293,495644,13733888,1057791479.37
294,504088,13733888,1040072368.32
295,495754,13733888,1057556772.11
296,495643,13733888,1057793613.55
297,495459,13733888,1058186449.33
298,495402,13733888,1058308202.23
299,495772,13733888,1057518375.38
300,495551,13733888,1057989994.98
301,503403,13733888,1041487635.16
302,495977,13733888,1057081275.95
303,495643,13733888,1057793613.55
304,495477,13733888,1058148006.87
305,495570,13733888,1057949431.97
306,495699,13737984,1057674112.72
307,495699,13737984,1057674112.72
308,495902,13742080,1057241148.45
309,495772,13742080,1057518375.38
